"rank","State","Pop","Growth","Pop2021","Pop2010","growthSince2010","Percent","density"
"1","California","39995077","0.0057","39766650","37253956","0.0736","0.1193","256.7424"
"2","Texas","29945493","0.0135","29545499","25145561","0.1909","0.0893","114.6318"
"3","Florida","22085563","0.0125","21811875","18801310","0.1747","0.0659","411.8520"
"4","New York","20365879","0.0041","20283564","19378102","0.0510","0.0607","432.1580"
"5","Pennsylvania","13062764","0.0023","13032732","12702379","0.0284","0.0390","291.9510"
"6","Illinois","12808884","-0.0001","12810696","12830632","-0.0017","0.0382","230.7117"
"7","Ohio","11852036","0.0022","11825742","11536504","0.0274","0.0353","290.0574"
"8","Georgia","10916760","0.0095","10814334","9687653","0.1269","0.0326","189.8138"
"9","North Carolina","10620168","0.0086","10529778","9535483","0.1138","0.0317","218.4411"
"10","Michigan","10116069","0.0019","10096700","9883640","0.0235","0.0302","178.9220"
"11","New Jersey","9388414","0.0053","9338704","8791894","0.0678","0.0280","1276.6405"
"12","Virginia","8757467","0.0073","8694430","8001024","0.0945","0.0261","221.7642"
"13","Washington","7901429","0.0126","7803355","6724540","0.1750","0.0236","118.8971"
"14","Arizona","7303398","0.0105","7227450","6392017","0.1426","0.0218","64.2939"
"15","Massachusetts","7126375","0.0068","7078146","6547629","0.0884","0.0213","913.6378"
"16","Tennessee","7023788","0.0081","6967314","6346105","0.1068","0.0209","170.3356"
"17","Indiana","6845874","0.0044","6815701","6483802","0.0558","0.0204","191.0868"
"18","Maryland","6257958","0.0065","6217591","5773552","0.0839","0.0187","644.6851"
"19","Missouri","6188111","0.0027","6171512","5988927","0.0333","0.0185","90.0194"
"20","Wisconsin","5935064","0.0035","5914391","5686986","0.0436","0.0177","109.5879"
"21","Colorado","5922618","0.0127","5848166","5029196","0.1776","0.0177","57.1450"
"22","Minnesota","5787008","0.0070","5746751","5303925","0.0911","0.0173","72.6765"
"23","South Carolina","5217037","0.0095","5167731","4625364","0.1279","0.0156","173.5484"
"24","Alabama","5073187","0.0048","5048733","4779736","0.0614","0.0151","100.1715"
"25","Louisiana","4682633","0.0027","4670195","4533372","0.0329","0.0140","108.3842"
"26","Kentucky","4539130","0.0037","4522483","4339367","0.0460","0.0135","114.9554"
"27","Oregon","4318492","0.0095","4277874","3831074","0.1272","0.0129","44.9899"
"28","Oklahoma","4000953","0.0052","3980153","3751351","0.0665","0.0119","58.3272"
"29","Connecticut","3612314","0.0009","3609129","3574097","0.0107","0.0108","746.0376"
"30","Utah","3373162","0.0153","3322389","2763885","0.2204","0.0101","41.0510"
"31","Iowa","3219171","0.0045","3204770","3046355","0.0567","0.0096","57.6324"
"32","Nevada","3185426","0.0128","3145020","2700551","0.1795","0.0095","29.0162"
"33","Arkansas","3030646","0.0032","3021085","2915918","0.0393","0.0090","58.2425"
"34","Mississippi","2960075","-0.0002","2960677","2967297","-0.0024","0.0088","63.0837"
"35","Kansas","2954832","0.0029","2946356","2853118","0.0357","0.0088","36.1408"
"36","New Mexico","2129190","0.0027","2123356","2059179","0.0340","0.0064","17.5534"
"37","Nebraska","1988536","0.0068","1975020","1826341","0.0888","0.0059","25.8843"
"38","Idaho","1893410","0.0145","1866258","1567582","0.2079","0.0056","22.9107"
"39","West Virginia","1781860","-0.0033","1787788","1852994","-0.0384","0.0053","74.1268"
"40","Hawaii","1474265","0.0065","1464768","1360301","0.0838","0.0044","229.5290"
"41","New Hampshire","1389741","0.0044","1383635","1316470","0.0557","0.0041","155.2263"
"42","Maine","1369159","0.0025","1365759","1328361","0.0307","0.0041","44.3912"
"43","Rhode Island","1106341","0.0041","1101860","1052567","0.0511","0.0033","1069.9623"
"44","Montana","1103187","0.0087","1093706","989415","0.1150","0.0033","7.5796"
"45","Delaware","1008350","0.0092","999149","897934","0.1230","0.0030","517.3679"
"46","South Dakota","901165","0.0081","893916","814180","0.1068","0.0027","11.8870"
"47","North Dakota","800394","0.0135","789744","672591","0.1900","0.0024","11.5997"
"48","Alaska","738023","0.0031","735707","710231","0.0391","0.0022","1.2933"
"49","Vermont","646545","0.0027","644811","625741","0.0332","0.0019","70.1470"
"50","Wyoming","579495","0.0023","578173","563626","0.0282","0.0017","5.9685"